policy_id,name,year_recommended,source,status,implementing_body,budget_allocated_ksh_m,budget_utilized_pct,blocking_factor,lives_saved_estimate,notes
P001,Mathare River Riparian Reserve Enforcement,2015,NEMA / WRMA,Not Enforced,Nairobi City County,120.0,8.0,Land tenure disputes and political resistance from settlement landlords,45,Riparian reserve (30m) consistently violated. Enforcement requires evictions that county avoids pre-election.
P002,Nairobi River Basin Drainage Master Plan,2012,World Bank / NCC,Partially Implemented,Ministry of Public Works,850.0,34.0,Budget absorption capacity and contractor defaults,120,Phase 1 complete. Phase 2 (Mathare-Ngong corridor) stalled since 2019.
P003,Integrated Urban Flood Early Warning System,2019,NDOC / KMD,Draft Only,Kenya Meteorological Department,45.0,0.0,Inter-agency coordination failure between KMD and NCC,35,MOU between KMD and NCC never signed. System designed but not procured.
P004,Mukuru Special Planning Area Drainage,2020,Nairobi Metropolitan Services,Partially Implemented,Nairobi City County,380.0,41.0,Resettlement budget shortfall,90,SPA approved 2020. Drainage component requires resettlement — underfunded by 60%.
P005,Riparian Land Title Regularisation,2016,NLC / Ministry of Lands,Stalled,National Land Commission,200.0,12.0,Political will — riparian land has high commercial value,80,Process began 2017. Stalled after 2017 election. High-value riparian plots obstructing enforcement.
P006,Nairobi Stormwater Utility (Revenue Model),2021,World Bank Urban Resilience,Not Started,Nairobi City County,0.0,0.0,Revenue model not approved by County Assembly,55,Feasibility study complete. County Assembly rejected user charge component twice.
P007,Climate-Resilient Building Code Amendments,2018,NCA / Ministry of Housing,Completed,National Construction Authority,15.0,95.0,None — completed,20,Codes updated 2021. Enforcement on new builds improving. Existing stock unaddressed.
P008,Kibera Ngong River Flood Bunds,2017,KENSUP / UN-Habitat,Stalled,Ministry of Housing,160.0,22.0,Resettlement and land ownership disputes,65,Design complete. Construction halted 2019 after resettlement protests.
P009,Community Flood Warden Programme,2020,Kenya Red Cross / NCC,Partially Implemented,Kenya Red Cross,8.0,78.0,Volunteer attrition and stipend funding gaps,30,Active in 12 of 32 targeted wards. High-risk Mathare and Korogocho wards not covered.
P010,Nairobi Green Infrastructure Strategy,2023,C40 Cities / NCC,Draft Only,Nairobi City County,0.0,0.0,Awaiting County Integrated Development Plan revision,25,Strategy drafted. Not yet integrated into CIDP. No budget line.
